date,price,last_sale_price_in _hour,average_price,sd_of_purchase_prices_in_hour,sd_of _sale_prices_in_hour,number_of_trades,number_of_buys,number_of_sales,number_of_announcements,order_flow,change_price,log_price
6/05/96 17:00,1.527,1.5267,1.52685,0.551856371,0.57260701,76,35,-41,1,-6,0.000393005,0.00017068
6/05/96 18:00,1.5263,1.5262,1.52625,0.761212483,0.646013416,28,15,-13,0,2,-0.00045852,-0.000199133
7/05/96 6:00,1.524,1.523,1.5235,0.606708528,0.954594155,32,15,-17,0,-2,-0.001508049,-0.000654937
7/05/96 7:00,1.5226,1.5235,1.52305,0.732523658,0.735465221,76,32,-44,0,-12,-0.000919057,-0.000399142
7/05/96 8:00,1.523,1.522,1.5225,0.723417814,0.469929073,199,85,-114,0,-29,0.000262674,0.000114078
7/05/96 9:00,1.5227,1.5228,1.52275,0.576562436,0.407505345,340,184,-156,0,28,-0.000196999,-8.55556E-05
7/05/96 10:00,1.525,1.5234,1.5242,0.74238559,0.296826651,243,106,-137,0,-31,0.001509335,0.000655496
7/05/96 11:00,1.5246,1.5244,1.5245,0.420227211,0.52476546,218,126,-92,2,34,-0.000262329,-0.000113928
7/05/96 12:00,1.5248,1.5249,1.52485,0.637407153,0.257464325,209,125,-84,0,41,0.000131173,5.69679E-05
7/05/96 13:00,1.5248,1.5246,1.5247,0.398767039,0.584652189,198,99,-99,2,0,0,0
7/05/96 14:00,1.5229,1.5228,1.52285,0.725457014,0.861420603,336,148,-188,1,-40,-0.001246842,-0.000541497
7/05/96 15:00,1.5233,1.5232,1.52325,0.471939904,0.784509111,242,106,-136,0,-30,0.000262622,0.000114055
7/05/96 16:00,1.5215,1.5215,1.5215,0.65011654,0.726709062,216,102,-114,2,-12,-0.001182344,-0.000513485
7/05/96 17:00,1.5213,1.5214,1.52135,0.603022689,0.566220859,226,100,-126,1,-26,-0.000131458,-5.70914E-05
7/05/96 18:00,1.5221,1.524,1.52305,0.706334971,0.930884233,90,44,-46,0,-2,0.000525728,0.000228321
8/05/96 6:00,1.5271,1.5252,1.52615,0.700476029,1.055146119,27,19,-8,0,11,0.003279552,0.001424291
8/05/96 7:00,1.5269,1.5266,1.52675,0.386417109,0.594609625,102,70,-32,2,38,-0.000130976,-5.68821E-05
8/05/96 8:00,1.5275,1.5277,1.5276,0.883004513,0.687716908,156,82,-74,1,8,0.000392876,0.000170624
8/05/96 9:00,1.5268,1.5266,1.5267,0.26571801,0.471859635,195,96,-99,2,-3,-0.00045837,-0.000199068
8/05/96 10:00,1.5277,1.5275,1.5276,0.331548251,0.351619629,315,178,-137,1,41,0.000589295,0.000255927
8/05/96 11:00,1.5276,1.5269,1.52725,0.554526825,0.939535669,182,85,-97,1,-12,-6.55E-05,-2.84289E-05
8/05/96 12:00,1.5249,1.5249,1.5249,0.394181161,0.44890439,404,163,-241,2,-78,-0.001769042,-0.000768285
